종목코드,날짜,close_1,close_2,close_3,close_4,close_5,close_6,close_7,mean_close,std_close,return_1d,return_3d,num_up_days,종가,전일비,시가,고가,저가,거래량,range_pct,close_vs_open,tail_up,tail_down,volume_price
005935,2025-06-27,48500.0,48700.0,47800.0,49400.0,50400.0,50400.0,50600.0,49400.0,1021.2037714663724,0.003968253968253968,0.024291497975708502,4,50600.0,상승  200,50200.0,51100.0,49900.0,1489861.0,0.02390438247011952,0.00796812749003984,0.009784735812133072,0.014028056112224449,75386966600.0
000270,2025-06-27,98200.0,98700.0,95900.0,96900.0,101100.0,99100.0,97700.0,98228.57142857143,1544.3114838605823,-0.014127144298688193,0.008255933952528379,3,97700.0,"하락  1,400",99700.0,99700.0,97400.0,574885.0,0.023069207622868605,-0.020060180541624874,0.020060180541624874,0.003080082135523614,56166264500.0
068270,2025-06-27,160200.0,162200.0,159000.0,161200.0,160500.0,160200.0,159900.0,160457.14285714287,937.8655749811345,-0.0018726591760299626,-0.008064516129032258,2,159900.0,하락  300,160400.0,160500.0,158800.0,298661.0,0.01059850374064838,-0.003117206982543641,0.003738317757009346,0.0069269521410579345,47755893900.0
035720,2025-06-27,60400.0,66600.0,67600.0,70400.0,69400.0,63100.0,60900.0,65485.71428571428,3737.2367834417723,-0.03486529318541997,-0.13494318181818182,3,60900.0,"하락  2,200",63000.0,63500.0,58900.0,7751588.0,0.07301587301587302,-0.03333333333333333,0.04094488188976378,0.03395585738539898,472071709200.0
055550,2025-06-27,59400.0,59300.0,60100.0,61000.0,60600.0,59700.0,60500.0,60085.71428571428,598.6379097073417,0.01340033500837521,-0.00819672131147541,3,60500.0,상승  800,59800.0,61900.0,59700.0,1615436.0,0.03678929765886288,0.011705685618729096,0.022617124394184167,0.01340033500837521,97733878000.0
009540,2025-06-27,379000.0,375500.0,375500.0,392000.0,364000.0,362500.0,364000.0,373214.28571428574,9866.455228475434,0.004137931034482759,-0.07142857142857142,2,364000.0,"상승  1,500",365500.0,373000.0,361000.0,198330.0,0.03283173734610123,-0.004103967168262654,0.024128686327077747,0.008310249307479225,72192120000.0
028260,2025-06-27,165300.0,161900.0,161600.0,162500.0,165100.0,160600.0,158800.0,162257.14285714287,2159.9319717178546,-0.0112079701120797,-0.02276923076923077,2,158800.0,"하락  1,800",161900.0,164300.0,158300.0,339200.0,0.03705991352686844,-0.019147621988882025,0.033475349969567865,0.003158559696778269,53864960000.0
042660,2025-06-27,89200.0,88600.0,86300.0,87400.0,82500.0,80300.0,79400.0,84814.28571428571,3732.2641812132415,-0.0112079701120797,-0.09153318077803203,1,79400.0,하락  900,82000.0,82400.0,79000.0,1769254.0,0.041463414634146344,-0.03170731707317073,0.03640776699029126,0.005063291139240506,140478767600.0
012330,2025-06-27,293000.0,291500.0,280500.0,285000.0,297500.0,294500.0,289500.0,290214.28571428574,5384.217298583644,-0.01697792869269949,0.015789473684210527,2,289500.0,"하락  5,000",292000.0,292000.0,285500.0,138407.0,0.02226027397260274,-0.008561643835616438,0.008561643835616438,0.014010507880910683,40068826500.0
032830,2025-06-27,124500.0,127200.0,124400.0,128500.0,129000.0,125500.0,126300.0,126485.71428571429,1698.258411624409,0.006374501992031873,-0.017120622568093387,4,126300.0,상승  800,126400.0,130000.0,125100.0,438651.0,0.038765822784810125,-0.0007911392405063291,0.02846153846153846,0.009592326139088728,55401621300.0
402340,2025-06-27,148400.0,155500.0,163700.0,181000.0,192200.0,187400.0,176300.0,172071.42857142858,15319.242268254307,-0.059231590181430094,-0.025966850828729283,4,176300.0,"하락  11,100",186700.0,188000.0,173200.0,945652.0,0.07927155865024103,-0.05570433851098018,0.06223404255319149,0.01789838337182448,166718447600.0
086790,2025-06-27,78700.0,80000.0,79800.0,82300.0,83200.0,83500.0,84200.0,81671.42857142857,1985.457331781907,0.008383233532934131,0.023086269744835967,5,84200.0,상승  700,83600.0,85800.0,83500.0,837186.0,0.02751196172248804,0.007177033492822967,0.018648018648018648,0.008383233532934131,70491061200.0
011200,2025-06-27,22750.0,23000.0,23550.0,22800.0,22850.0,23100.0,22400.0,22921.428571428572,328.2607226593159,-0.030303030303030304,-0.017543859649122806,4,22400.0,하락  700,23100.0,23150.0,22250.0,1562326.0,0.03896103896103896,-0.030303030303030304,0.032397408207343416,0.006741573033707865,34996102400.0
