종목코드,종목명,날짜,종가,52주최고,52주최저,정적_거래량,동적_거래량,시가총액_원,PER_숫자,EPS_숫자,전일대비,개인순매수,기관순매수,외국인순매수
323410,카카오뱅크,20250624,"37,000","38,750","18,490","24,103,988","24,103,988",17648600000000,37.83,978.0,"6,000","-115,540","+346,444","-82,545"
267260,HD현대일렉트릭,20250624,"482,000","496,000","225,500","231,072","231,072",17374700000000,30.94,15581.0,"8,000","-8,695","-10,741","+16,854"
259960,크래프톤,20250624,"361,500","393,000","260,000","252,927","252,927",17131000000000,13.06,27686.0,"11,000","-19,569","-19,840","+39,455"
10130,고려아연,20250624,"819,000","2,407,000","445,000","18,255","18,255",16956000000000,68.82,11900.0,"1,000",-954,"+1,888",-788
316140,우리금융지주,20250624,"22,200","22,200","13,740","2,588,030","2,588,030",16485500000000,5.73,3877.0,850,"-22,902","-156,243","+190,843"
96770,SK이노베이션,20250624,"101,800","140,200","80,800","516,935","516,935",15375300000000,,20236.0,"-1,000","-48,822","+49,759",-598
33780,KT&G,20250624,"124,600","127,600","84,800","290,744","290,744",15209000000000,14.03,8881.0,900,"+12,880","-21,041","+5,769"
10140,삼성중공업,20250624,"17,060","18,550","8,990","8,139,059","8,139,059",15012800000000,102.77,166.0,410,"+65,989","+503,197","-554,690"
18260,삼성에스디에스,20250624,"193,500","198,800","109,000","688,233","688,233",14972600000000,19.76,9791.0,"1,700","+52,975","+21,042","-67,162"
51910,LG화학,20250624,"211,000","371,000","181,500","372,374","372,374",14895000000000,,11946.0,"8,500","-120,899","+24,831","+99,408"
34730,SK,20250624,"199,200","205,500","114,800","358,693","358,693",14442500000000,16.22,12281.0,"3,400","+22,223","-3,625","-29,939"
24110,기업은행,20250624,"18,060","18,180","12,790","1,472,576","1,472,576",14401500000000,5.39,3351.0,640,"-312,795","+102,950","+357,074"
6400,삼성SDI,20250624,"176,800","385,249","157,700","742,543","742,543",14247500000000,121.01,1461.0,"7,500","-181,994","+32,689","+147,500"
3550,LG,20250624,"84,900","91,700","58,300","1,050,828","1,050,828",13350600000000,16.8,5053.0,"3,100","+205,488","+130,555","-339,160"
30200,KT,20250624,"52,100","54,300","35,850","373,428","373,428",13130300000000,20.75,2511.0,"1,100","-87,458","+84,446","-3,483"
352820,하이브,20250624,"312,500","316,000","157,700","269,200","269,200",13016300000000,248.81,1256.0,"9,500","-72,534","+10,460","+62,045"
6800,미래에셋증권,20250624,"22,550","25,350","6,600","8,076,803","8,076,803",12860600000000,16.53,1364.0,"1,000","+492,220","+1,041,565","-857,453"
66570,LG전자,20250624,"76,200","115,400","64,100","1,168,788","1,168,788",12470000000000,19.92,3825.0,"1,500","+80,561","-11,696","-47,994"
377300,카카오페이,20250624,"92,000","99,400","21,200",-,-,12392100000000,,31.0,0,0,0,0
17670,SK텔레콤,20250624,"56,800","61,900","50,400","838,701","838,701",12200100000000,9.67,5874.0,700,"-1,678","+68,907","-64,536"
79550,LIG넥스원,20250624,"554,000","650,000","168,700","513,343","513,343",12188000000000,49.67,11153.0,"-76,000","+44,879","-70,593","+25,159"
272210,한화시스템,20250624,"63,100","70,200","16,530","2,034,856","2,034,856",11920800000000,27.07,2331.0,"-3,100","-89,846","-129,826","+230,147"
