종목코드,종목명,날짜,종가,52주최고,52주최저,정적_거래량,동적_거래량,시가총액_원,PER_숫자,EPS_숫자,전일대비,개인순매수,기관순매수,외국인순매수
96770,SK이노베이션,20250625,"101,000","140,200","80,800","330,462","330,462",15254500000000,,20236.0,-800,"+9,888","-17,560","+10,108"
51910,LG화학,20250625,"212,500","371,000","181,500","178,210","178,210",15000900000000,,11946.0,"1,500","+15,851","-21,704","+5,456"
24110,기업은행,20250625,"18,790","18,810","12,790","1,683,146","1,683,146",14983600000000,5.61,3351.0,730,"+72,549","-3,136","-24,202"
34730,SK,20250625,"202,500","205,500","114,800","417,497","417,497",14681800000000,16.49,12281.0,"3,300","-58,103","+6,868","+52,483"
10140,삼성중공업,20250625,"16,530","18,550","9,200","7,951,547","7,951,547",14546400000000,99.58,166.0,-530,"+2,450,998","-1,145,747","-1,315,896"
6400,삼성SDI,20250625,"175,400","385,249","157,700","397,964","397,964",14134700000000,120.05,1461.0,"-1,400","+137,136","-46,148","-96,630"
18260,삼성에스디에스,20250625,"180,100","198,800","109,000","774,478","774,478",13935700000000,18.39,9791.0,"-13,400","+179,364","-87,656","-91,281"
6800,미래에셋증권,20250625,"23,450","25,350","6,600","7,830,793","7,830,793",13373900000000,17.19,1364.0,900,"+859,363","+426,946","-561,977"
3550,LG,20250625,"84,000","91,700","58,300","444,346","444,346",13209100000000,16.62,5053.0,-900,"+46,638","+5,936","-52,578"
30200,KT,20250625,"52,400","54,300","35,850","227,027","227,027",13205900000000,20.87,2511.0,300,+414,"-6,448","-3,857"
352820,하이브,20250625,"310,500","316,000","157,700","243,590","243,590",12933000000000,247.21,1256.0,"-2,000","+18,701","-31,155","+97,530"
377300,카카오페이,20250625,"93,800","114,000","21,200","12,116,328","12,116,328",12634500000000,,31.0,"1,800","+719,191","-585,482","-102,584"
66570,LG전자,20250625,"76,100","115,400","64,100","514,310","514,310",12453600000000,19.9,3825.0,-100,"+83,987","-87,497","-1,772"
17670,SK텔레콤,20250625,"57,100","61,900","50,400","788,270","788,270",12264500000000,9.72,5874.0,300,"+44,230","-8,152","-31,539"
79550,LIG넥스원,20250625,"527,000","650,000","168,700","296,861","296,861",11594000000000,47.25,11153.0,"-27,000","-33,805","-41,910","+80,324"
272210,한화시스템,20250625,"58,900","70,200","16,530","2,416,203","2,416,203",11127400000000,25.27,2331.0,"-4,200","+41,370","-280,316","+245,707"
