종목코드,종목명,날짜,시작가,전일가,정적_거래량,시가총액,PER,EPS,52주최고,52주최저,종가,전일대비,외국인순매수,기관순매수,개인순매수,동적_거래량,시가총액_원,PER_숫자,EPS_숫자
005490,POSCO홀딩스,20250624,"258,000","253,500","305,296",21285400000000,25.57,10286.0,"397,000","227,500","263,000","9,500","+99,988","+15,400","-113,245","305,296",21285400000000,25.57,10286.0
138040,메리츠금융지주,20250624,"115,000","112,400","356,760",20539700000000,9.34,12216.0,"127,400","73,500","114,100","1,700","-38,712","+65,981","-25,323","356,760",20539700000000,9.34,12216.0
000810,삼성화재,20250624,"429,500","425,500","128,263",20429000000000,11.33,39171.0,"466,000","324,000","444,000","18,500","+29,852","-10,019","-18,947","128,263",20429000000000,11.33,39171.0
323410,카카오뱅크,20250624,"31,150","31,000","24,103,988",17648600000000,37.83,978.0,"38,750","18,490","37,000","6,000","-82,545","+346,444","-115,540","24,103,988",17648600000000,37.83,978.0
267260,HD현대일렉트릭,20250624,"483,500","474,000","231,072",17374700000000,30.94,15581.0,"496,000","225,500","482,000","8,000","+16,854","-10,741","-8,695","231,072",17374700000000,30.94,15581.0
259960,크래프톤,20250624,"354,500","350,500","252,927",17131000000000,13.06,27686.0,"393,000","260,000","361,500","11,000","+39,455","-19,840","-19,569","252,927",17131000000000,13.06,27686.0
010130,고려아연,20250624,"823,000","818,000","18,255",16956000000000,68.82,11900.0,"2,407,000","445,000","819,000","1,000",-788,"+1,888",-954,"18,255",16956000000000,68.82,11900.0
316140,우리금융지주,20250624,"21,800","21,350","2,588,030",16485500000000,5.73,3877.0,"22,200","13,740","22,200",850,"+190,843","-156,243","-22,902","2,588,030",16485500000000,5.73,3877.0
096770,SK이노베이션,20250624,"100,100","102,800","516,935",15375300000000,,20236.0,"140,200","80,800","101,800","-1,000",-598,"+49,759","-48,822","516,935",15375300000000,,20236.0
033780,KT&G,20250624,"125,000","123,700","290,744",15209000000000,14.03,8881.0,"127,600","84,800","124,600",900,"+5,769","-21,041","+12,880","290,744",15209000000000,14.03,8881.0
010140,삼성중공업,20250624,"17,000","16,650","8,139,059",15012800000000,102.77,166.0,"18,550","8,990","17,060",410,"-554,690","+503,197","+65,989","8,139,059",15012800000000,102.77,166.0
018260,삼성에스디에스,20250624,"197,800","191,800","688,233",14972600000000,19.76,9791.0,"198,800","109,000","193,500","1,700","-67,162","+21,042","+52,975","688,233",14972600000000,19.76,9791.0
051910,LG화학,20250624,"207,500","202,500","372,374",14895000000000,,11946.0,"371,000","181,500","211,000","8,500","+99,408","+24,831","-120,899","372,374",14895000000000,,11946.0
034730,SK,20250624,"203,500","195,800","358,693",14442500000000,16.22,12281.0,"205,500","114,800","199,200","3,400","-29,939","-3,625","+22,223","358,693",14442500000000,16.22,12281.0
024110,기업은행,20250624,"17,630","17,420","1,472,576",14401500000000,5.39,3351.0,"18,180","12,790","18,060",640,"+357,074","+102,950","-312,795","1,472,576",14401500000000,5.39,3351.0
006400,삼성SDI,20250624,"172,500","169,300","742,543",14247500000000,121.01,1461.0,"385,249","157,700","176,800","7,500","+147,500","+32,689","-181,994","742,543",14247500000000,121.01,1461.0
003550,LG,20250624,"90,200","81,800","1,050,828",13350600000000,16.8,5053.0,"91,700","58,300","84,900","3,100","-339,160","+130,555","+205,488","1,050,828",13350600000000,16.8,5053.0
030200,KT,20250624,"51,600","51,000","373,428",13130300000000,20.75,2511.0,"54,300","35,850","52,100","1,100","-3,483","+84,446","-87,458","373,428",13130300000000,20.75,2511.0
352820,하이브,20250624,"307,000","303,000","269,200",13016300000000,248.81,1256.0,"316,000","157,700","312,500","9,500","+62,045","+10,460","-72,534","269,200",13016300000000,248.81,1256.0
006800,미래에셋증권,20250624,"22,850","21,550","8,076,803",12860600000000,16.53,1364.0,"25,350","6,600","22,550","1,000","-857,453","+1,041,565","+492,220","8,076,803",12860600000000,16.53,1364.0
066570,LG전자,20250624,"76,600","74,700","1,168,788",12470000000000,19.92,3825.0,"115,400","64,100","76,200","1,500","-47,994","-11,696","+80,561","1,168,788",12470000000000,19.92,3825.0
377300,카카오페이,20250624,-,"92,000",-,12392100000000,,31.0,"99,400","21,200","92,000",0,0,0,0,-,12392100000000,,31.0
017670,SK텔레콤,20250624,"56,700","56,100","838,701",12200100000000,9.67,5874.0,"61,900","50,400","56,800",700,"-64,536","+68,907","-1,678","838,701",12200100000000,9.67,5874.0
079550,LIG넥스원,20250624,"576,000","630,000","513,343",12188000000000,49.67,11153.0,"650,000","168,700","554,000","-76,000","+25,159","-70,593","+44,879","513,343",12188000000000,49.67,11153.0
272210,한화시스템,20250624,"63,500","66,200","2,034,856",11920800000000,27.07,2331.0,"70,200","16,530","63,100","-3,100","+230,147","-129,826","-89,846","2,034,856",11920800000000,27.07,2331.0
